Admin1,Admin2,ADM2_PCODE,locationIndex,educationProbability
Dakar,Dakar,SN0101,7,0.00
Diourbel,Diourbel,SN0202,8,0.076923077
Fatick,Fatick,SN0301,9,0.076923077
Kaolack,Kaolack,SN0502,18,0.076923077
Kaffrine,Kaffrine,SN0402,16,0.076923077
Kedougou,Kedougou,SN0601,20,0.076923077
Kolda,Kolda,SN0701,21,0.076923077
Louga,Louga,SN0803,25,0.076923077
Matam,Matam,SN0902,27,0.076923077
Saint Louis,Saint Louis,SN1003,37,0.076923077
Sedhiou,Sedhiou,SN1103,40,0.076923077
Tambacounda,Tambacounda,SN1204,41,0.076923077
Thies,Thies,SN1302,42,0.076923077
Ziguinchor,Ziguinchor,SN1403,45,0.076923077