agri_aqua,livestock,professional,services,small_business,trades
rural,rural,urban,urban,urban,urban
63255.5,60860,917513,592985.5,227245.5,629734.5
40876.5,27262.5,556799.5,384813,142424.5,
70935.5,44330.5,995196.5,421171.5,179266,336606
99699.5,45148.5,,,347187.5,425126
103569,42760,632838,498484,245533.5,609281.5
193626,48112.5,620528,328338,74281,624610.5
,,1231834,701451.5,391773.5,1054627.5
42186.5,38530,382292,249047.5,143232.5,584084.5
44939,18091,1032659.5,319607.5,119271.5,273247
175159,100881,679121.5,434380,192042.5,316281
116552,34022,1033913,478548.5,247768,608404
129281,64139,893360.5,,211695,452041
82706,19290.5,924760.5,485902,186649.5,568877.5
,,715979.5,733610,357494.5,537760
112789.5,73268.5,845883.5,490338,140241.5,336277.5
120624.5,20975,630781.5,334378.5,179915.5,518030
86782,91141,551354.5,382601,142754.5,338975
91519,45861,841566.5,513419.5,216904,662822
113967,50343,1081460.5,460189,153829.5,505028.5
67053,37308.5,1093149.5,548230.5,234131,830906.5
99811.5,45718.5,828403,384002.5,175198.5,325009
83767,36815,674648,369780,220339.5,421720.5
55735,43376.5,,425832,190632,570818
86932.5,93472.5,918059,403974.5,153060,393221
53388,69380.5,1056246.5,480513,238941,801839.5
70213.5,43629.5,533459.5,344719,53735.5,474233.5
68547.5,29070.5,626781.5,645353,202188,876283
93136,32257.5,755401,489030,153628,
43928.5,97918,970893,466958,354873.5,462598.5
172085,63794,,,,
103844,55415.5,867262,348821,199083.5,499619.5
128727,,,,,
,,617828,622639.5,250107,763349
66125,90943,586337.5,441731.5,116150,417203.5
92196,91311.5,,,,
131038.5,132757,1047781,596500,233771,670648.5
85451.5,85882.5,821692.5,429510.5,157152,571812.5
80671.5,27276,822746.5,396797.5,149304.5,
62791.5,76571,,,,
118461,52425,881454,522023.5,285152.5,619683.5
51684.5,57373,616417,462778,190482,685139
159781,51225,751618,542431.5,248985.5,790850.5
162184,53835.5,871113,512993.5,267982.5,864353
74330.5,74309.5,887894,635084.5,218778,508965.5
69910,35130,695905,441671.5,212153.5,379563.5