admin1,admin2,urban,sector,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Dakar,Dakar,urban,agri_aqua,176707.5,77504.70000000001,355412.70000000007,61939.45,441877.5999999997
Dakar,Dakar,urban,livestock,75087.5,40989.9,138056.9,34238,166366.64999999997
Dakar,Dakar,urban,professional,1233476.5,1134737.2,1344358.6,1103729.5999999999,1375137.15
Dakar,Dakar,urban,services,701673.5,644041.4,770715.9,626414.4500000001,793053.3999999999
Dakar,Dakar,urban,small_business,390129,345027.7,441497,331605.6,456297.5
Dakar,Dakar,urban,trades,1024935,859523,1205309.6,810927.2999999999,1262235.5999999996
Dakar,Guediawaye,urban,livestock,93076,50777.9,177903,42097.35,229677.74999999988
Dakar,Guediawaye,urban,professional,707288.5,537204.8,911069.5,498650.15,972009.9999999998
Dakar,Guediawaye,urban,services,721224,581972.9,904703.7999999999,544234.7000000001,962020.4500000001
Dakar,Guediawaye,urban,small_business,359702.5,275091.7,476810.60000000003,255628.55,515109.5
Dakar,Guediawaye,urban,trades,527188.5,394848.1,743781.3,365246,807973.8999999999
Dakar,Pikine,urban,agri_aqua,64653.5,23723.3,162700.7,18690.25,206581.09999999995
Dakar,Pikine,urban,livestock,161508,107787,224493.2,97783.75,252357.30000000002
Dakar,Pikine,urban,professional,620069.5,561808.1,678146.3,544290.15,695902.1
Dakar,Pikine,urban,services,621386.5,564794.8,696586.6000000001,549023.7000000001,715071.85
Dakar,Pikine,urban,small_business,249319,220106.6,285250.4,214629,296361.44999999995
Dakar,Pikine,urban,trades,755947.5,686209.8,837340.1000000001,671217.65,853050.3
Dakar,Rufisque,rural,agri_aqua,153954,90947.8,274816.10000000003,77769.9,315203.09999999986
Dakar,Rufisque,rural,livestock,141831,90160.6,235096.30000000002,79142.9,268654.94999999995
Dakar,Rufisque,rural,professional,573421,482285.5,677581.7,457556.80000000005,715055.9999999999
Dakar,Rufisque,rural,services,401700.5,320978.69999999995,495105,297434.7,520746.35
Dakar,Rufisque,rural,small_business,180357,151652.1,211535.80000000002,144824.15,221101.69999999998
Dakar,Rufisque,rural,trades,632688.5,544027.5,738848.2000000001,511559.60000000003,770991.2999999999
Dakar,Rufisque,urban,agri_aqua,127914,52745.9,293728.7,40212.95,367421.74999999994
Dakar,Rufisque,urban,livestock,84293.5,51541.899999999994,134058.4,43161.35,154531.64999999997
Dakar,Rufisque,urban,professional,1010723.5,827686.4,1250128.9000000001,779740.5,1319336.3499999999
Dakar,Rufisque,urban,services,597364,496031.8,713211.3,470616.14999999997,744728.9
Dakar,Rufisque,urban,small_business,236553,192576.1,286605.10000000003,181789.9,307659.95
Dakar,Rufisque,urban,trades,630242,520185.9,765961.6000000001,481896.94999999995,803936.6
Diourbel,Bambey,rural,agri_aqua,39425.5,26646.2,59524.7,23399.85,66112.29999999999
Diourbel,Bambey,rural,livestock,23968.5,18057.6,31899.100000000006,16637.75,35282.15
Diourbel,Bambey,rural,professional,297339.5,199127.1,433248.60000000003,174702.2,472389.64999999997
Diourbel,Bambey,rural,services,304871,242684.2,375733.9,224934.95,404952.3
Diourbel,Bambey,rural,small_business,105225,84422.7,129746.7,80207.7,137514.15
Diourbel,Bambey,rural,trades,318332.5,204581.3,499690,178390.75,558382.6
Diourbel,Bambey,urban,livestock,90852.5,50423.7,157263.30000000002,41367.700000000004,189592.39999999997
Diourbel,Bambey,urban,professional,579764,423936.3,789631,388157.10000000003,854818.3
Diourbel,Bambey,urban,services,390530,304285.2,510513.50000000006,280163.5,550635.7
Diourbel,Bambey,urban,small_business,143450,113504.8,182460.8,104672.6,194595.54999999993
Diourbel,Diourbel,rural,agri_aqua,41777,32817.4,52259.799999999996,30591.45,56267.299999999996
Diourbel,Diourbel,rural,livestock,38226.5,26442.9,55023.5,24473.1,61026.299999999996
Diourbel,Diourbel,rural,professional,288166.5,200804.7,402916.9,182436.5,442237
Diourbel,Diourbel,rural,services,208478.5,151713.6,290185.1,140722.15,317123.35
Diourbel,Diourbel,rural,small_business,118922,98156.8,146186.40000000002,92950.15,155776.14999999997
Diourbel,Diourbel,rural,trades,257218.5,191301.69999999998,340860.7,175257.95,375300.45
Diourbel,Diourbel,urban,agri_aqua,82515,44537.299999999996,149569.6,37772.95,175401.89999999997
Diourbel,Diourbel,urban,livestock,35856.5,24097.5,53707.3,21992.45,60377.19999999999
Diourbel,Diourbel,urban,professional,389216.5,324988.8,475832.6,309288.4,503395.79999999993
Diourbel,Diourbel,urban,services,250726,192711.5,322835.4,179636.5,352203.55
Diourbel,Diourbel,urban,small_business,144781.5,127770.59999999999,164424.6,122623.05,169968.5
Diourbel,Diourbel,urban,trades,596763.5,436354.1,796336.4,403963,885836.8499999999
Diourbel,M'backe,rural,agri_aqua,81024.5,59884.6,107332.6,54928.35,117862.19999999998
Diourbel,M'backe,rural,livestock,42942.5,31784.8,59475.700000000004,29304.2,63948.45
Diourbel,M'backe,rural,professional,274291,208459.2,356363.3,193251.85,382356.35000000003
Diourbel,M'backe,rural,services,239840.5,195241.40000000002,296891.1,184093.85,317062.45
Diourbel,M'backe,rural,small_business,43773,35823.3,53859.7,33513.25,56797.049999999996
Diourbel,M'backe,rural,trades,316109.5,254936.3,395873.1,239447.35,423425.04999999993
Diourbel,M'backe,urban,agri_aqua,97633.5,53282.799999999996,181896.80000000002,45708.549999999996,219119.2
Diourbel,M'backe,urban,livestock,45366,25736.3,78695.6,20912.800000000003,92220.39999999997
Diourbel,M'backe,urban,professional,568084.5,456393.80000000005,709577.2,429521.6,753193.7999999999
Diourbel,M'backe,urban,services,343712,276008.60000000003,430840.5,257624.75,463406.60000000003
Diourbel,M'backe,urban,small_business,51881.5,40260.5,66704.8,36814.65,73517.19999999998
Diourbel,M'backe,urban,trades,470812.5,375235.89999999997,584680.7000000001,346401.7,630171.35
Fatick,Fatick,rural,agri_aqua,42806.5,34485.1,54137.200000000004,32377.850000000002,57391.19999999999
Fatick,Fatick,rural,livestock,16781,13619.6,21393.300000000003,12781,22698.8
Fatick,Fatick,rural,professional,442210.5,308846.60000000003,595408.5,274332.25,639650.9999999998
Fatick,Fatick,rural,services,229882.5,178186.7,286415.6,168114.5,308750.64999999997
Fatick,Fatick,rural,small_business,80989,63998.7,101530.3,60270.05,106952.54999999997
Fatick,Fatick,rural,trades,201388,152103,264244.5,142570.45,289082.64999999997
Fatick,Fatick,urban,agri_aqua,68791,39138,117685.70000000001,33579.45,139292.65
Fatick,Fatick,urban,livestock,65881,42927.3,102011,37828.4,118527.34999999998
Fatick,Fatick,urban,professional,1040524.5,848310.7999999999,1329542.6,791147.0000000001,1388984.25
Fatick,Fatick,urban,services,320072,254511,398857.3,237352.15,423403.15
Fatick,Fatick,urban,small_business,119365,97817.4,148067.5,92000.95,157880.94999999998
Fatick,Fatick,urban,trades,328902,212510.00000000003,490853.2,191695.85,533579.5499999999
Fatick,Foundiougne,rural,agri_aqua,184758,152980.7,222493.90000000002,145184.45,234031.39999999997
Fatick,Foundiougne,rural,livestock,116916,76285.8,173956.1,69796.15000000001,199008.34999999995
Fatick,Foundiougne,rural,professional,358840.5,274982.9,454689.9,254019.15,483803.65
Fatick,Foundiougne,rural,services,338518.5,274370.7,424983.10000000003,262351.8,456885.54999999993
Fatick,Foundiougne,rural,small_business,139134,117624.79999999999,164460.09999999998,112101.55,172359.69999999995
Fatick,Foundiougne,rural,trades,407535.5,311445,517197.7,288742.5,552458.6
Fatick,Foundiougne,urban,agri_aqua,132378.5,97854.90000000001,180517.8,89429.84999999999,197504.35
Fatick,Foundiougne,urban,livestock,34150.5,22477.2,52540.1,19769.399999999998,60677.2
Fatick,Foundiougne,urban,professional,692911.5,572085,862754.2999999999,542323.8,908501.1
Fatick,Foundiougne,urban,services,438915.5,350940.2,542160.9,331058.55,577594.1499999998
Fatick,Foundiougne,urban,small_business,191715,162653.7,227532.1,155841.9,239914.94999999998
Fatick,Foundiougne,urban,trades,323432.5,239962.6,442239.7,222104.4,481779.1999999999
Fatick,Gossas,rural,agri_aqua,123181.5,84958.8,178337.80000000002,76583.75,198110.64999999997
Fatick,Gossas,rural,livestock,32698,20315.7,51455.4,17513.95,59761.449999999975
Fatick,Gossas,rural,professional,445131.5,301229.9,666131.8,266972.5,760157.1999999998
Fatick,Gossas,rural,small_business,168717,121150.2,229356.5,111227.45000000001,251542.69999999992
Fatick,Gossas,rural,trades,316448.5,197294.8,478584.4,175957.75,541929.75
Fatick,Gossas,urban,agri_aqua,58876,30025,113642.6,24701.350000000002,139923.4
Fatick,Gossas,urban,livestock,47549.5,20919.3,103086,16808.7,120378.34999999999
Fatick,Gossas,urban,professional,1008884.5,718510.2999999999,1434260.6,637477.55,1604950.2499999995
Fatick,Gossas,urban,services,481632.5,321187.1,730016.0000000001,288306.10000000003,823753.1
Fatick,Gossas,urban,small_business,243968.5,178825.5,344429.39999999997,161643.30000000002,373128.4
Fatick,Gossas,urban,trades,598310,400141.1,911109.9,359441.05000000005,1017974.95
Kaffrine,Birkelane,rural,agri_aqua,101365,77366.5,133264.2,70040.05,143493.09999999998
Kaffrine,Birkelane,rural,livestock,42912.5,27423.5,66557.6,24000.9,75026.34999999996
Kaffrine,Birkelane,rural,professional,459775.5,317544.39999999997,671001.4,288171.2,759153.8999999999
Kaffrine,Birkelane,rural,services,341482,255262.4,467570.60000000003,229725.5,514532.25
Kaffrine,Birkelane,rural,small_business,223282,169935.8,287542.4,159292,308900
Kaffrine,Birkelane,rural,trades,249974.5,164284.1,383257.4000000001,142934.6,428190.4999999998
Kaffrine,Birkelane,urban,agri_aqua,158930,84964.8,289507.2,71106.85,352437.79999999976
Kaffrine,Birkelane,urban,livestock,60748.5,35429.5,101200.7,29467.350000000002,123392.99999999999
Kaffrine,Birkelane,urban,small_business,337800.5,234755.9,466743.5,214542.84999999998,523031.1499999999
Kaffrine,Birkelane,urban,trades,492450,303291,758683.2,273230.80000000005,878376.1999999998
Kaffrine,Kaffrine,rural,agri_aqua,127089.5,103333.5,158380.1,96477.8,167358.69999999998
Kaffrine,Kaffrine,rural,livestock,20149.5,15562.9,26834.5,14308.9,29450.09999999999
Kaffrine,Kaffrine,rural,professional,398242,286195.9,557433.8,260833.09999999998,611021.4
Kaffrine,Kaffrine,rural,services,273142.5,210182.40000000002,359731.5,195597.45,391516.99999999994
Kaffrine,Kaffrine,rural,small_business,121092,99452.29999999999,146914.7,93292.6,154896.59999999998
Kaffrine,Kaffrine,rural,trades,249050.5,161211.5,397803,141766.9,446447.6
Kaffrine,Kaffrine,urban,agri_aqua,190687,134792.8,268879.10000000003,123883.25,296442.14999999997
Kaffrine,Kaffrine,urban,livestock,32608,21671.699999999997,50089.4,19012,56207.44999999999
Kaffrine,Kaffrine,urban,professional,636403,495988.3,809956.7000000001,458530.75,883242.3999999999
Kaffrine,Kaffrine,urban,services,336820,261011.2,433229.4,244418.1,459855.1499999999
Kaffrine,Kaffrine,urban,small_business,176748,151287.9,209169.80000000002,145371.75,219556.85
Kaffrine,Kaffrine,urban,trades,529962,378054.10000000003,756358.5,333167.5,832736.7999999996
Kaffrine,Koungheul,rural,agri_aqua,82961.5,67673.7,101827.80000000002,64729.45,107536.95
Kaffrine,Koungheul,rural,livestock,35077,26543.7,46629.8,24549.6,51575.85
Kaffrine,Koungheul,rural,professional,342679,255930.7,455904.9,233473.85,500104.74999999994
Kaffrine,Koungheul,rural,services,286920,202561,379391.8,183902.6,413352.84999999986
Kaffrine,Koungheul,rural,small_business,138000,110590.8,171904.7,103295.1,181314.95
Kaffrine,Koungheul,rural,trades,243785.5,172067.5,357021.60000000003,156581.15000000002,397869.8
Kaffrine,Koungheul,urban,agri_aqua,116291,64092.5,204793.40000000002,55217.55,237222.09999999998
Kaffrine,Koungheul,urban,livestock,69375.5,36960.9,125989.70000000001,31962.25,144198.25
Kaffrine,Koungheul,urban,professional,686674,523939,916661,489756.85,1013367.4999999998
Kaffrine,Koungheul,urban,services,385870.5,270593.3,540753.5,248362.84999999998,590397.1999999998
Kaffrine,Koungheul,urban,small_business,215516.5,171298.3,273165,162907.2,292048.05
Kaffrine,Koungheul,urban,trades,470996.5,321468,676381.2,283584.95,747058.2999999999
Kaffrine,Malem Hoddar,rural,agri_aqua,93681,67496.09999999999,127696.3,62439.3,135980.39999999997
Kaffrine,Malem Hoddar,rural,livestock,30153,20690.300000000003,43268.7,19150.2,48604.2
Kaffrine,Malem Hoddar,rural,professional,401722.5,269205.8,605869.1000000001,232263.05,687304.9499999998
Kaffrine,Malem Hoddar,rural,services,349378,252365.4,489390.5,220905.85,540308.6499999999
Kaffrine,Malem Hoddar,rural,small_business,119966.5,93433.5,155293.50000000003,86598.95,167046.19999999998
Kaffrine,Malem Hoddar,rural,trades,265356.5,171556.2,409389.4,147310.94999999998,474731.1
Kaffrine,Malem Hoddar,urban,agri_aqua,168774.5,86535.5,313771.9,69538.65,379385.84999999986
Kaffrine,Malem Hoddar,urban,livestock,59049.5,29451.7,119951.70000000004,24472,154249.9
Kaffrine,Malem Hoddar,urban,professional,745574,506188.69999999995,1107123.3,451468.7,1236818.8499999999
Kaffrine,Malem Hoddar,urban,services,481665.5,335435.3,702595.1,298200.75000000006,802371.1999999998
Kaffrine,Malem Hoddar,urban,small_business,157733.5,117736.7,212933.9,107809.25,229389.45
Kaolack,Guinguineo,rural,agri_aqua,132830,103073.5,171210.1,92950.85,184648.05
Kaolack,Guinguineo,rural,livestock,71882.5,47756.3,99004.30000000002,43616.95,110523.7
Kaolack,Guinguineo,rural,professional,467349,333484.8,655416.1,306327.55,714995.8
Kaolack,Guinguineo,rural,services,355365,271834,495240.30000000005,251323.95,566910.05
Kaolack,Guinguineo,rural,small_business,118199,92506.1,155108.7,85839.45,164406.69999999998
Kaolack,Guinguineo,rural,trades,204861,126554.9,331050.6,101355.6,382790.0499999999
Kaolack,Guinguineo,urban,agri_aqua,210756,125099.70000000001,340084.30000000005,110765.79999999999,379994.49999999994
Kaolack,Guinguineo,urban,livestock,69592,37730.6,120688.40000000001,31775.4,142651.19999999998
Kaolack,Guinguineo,urban,professional,841437,610509.6,1126565.8,570668.95,1222138.15
Kaolack,Guinguineo,urban,services,492664.5,345420.89999999997,685250.1000000001,312289.05,749799.6
Kaolack,Guinguineo,urban,small_business,143349,104656.7,195434.40000000002,94483.75,209370.5
Kaolack,Guinguineo,urban,trades,385093,265917.1,560844.5,238282.84999999998,634234.6499999997
Kaolack,Kaolack,rural,agri_aqua,91292.5,77511.8,106828,74514.25,111906.34999999998
Kaolack,Kaolack,rural,livestock,46927,32890.8,68917.8,29492.3,79988.5
Kaolack,Kaolack,rural,professional,443189.5,341476.7,581137.7999999999,315833.4,638922.6
Kaolack,Kaolack,rural,services,401514.5,330065.9,493050.30000000005,312429.35,543376.35
Kaolack,Kaolack,rural,small_business,173197,142215.8,216926.60000000003,133804.5,234271.4
Kaolack,Kaolack,rural,trades,438470,345933.80000000005,555402.1,323248,593354.35
Kaolack,Kaolack,urban,agri_aqua,255564.5,151104.6,433096.60000000003,128834.7,510825.2499999997
Kaolack,Kaolack,urban,livestock,32946,21471,50520.3,19275.600000000002,56682.99999999998
Kaolack,Kaolack,urban,professional,834323,729346.1,953786.7999999999,697980.0499999999,994327.4999999999
Kaolack,Kaolack,urban,services,511441.5,445023.2,589714,428375.95,613099.55
Kaolack,Kaolack,urban,small_business,217258.5,190883.09999999998,244954.5,184483.25,253168.34999999998
Kaolack,Kaolack,urban,trades,654274,567236.4,756421.8999999999,540844.1,781699.6
Kaolack,Nioro,rural,agri_aqua,102540.5,88855.40000000001,117722,85261.84999999999,122373.45
Kaolack,Nioro,rural,livestock,59425.5,44361.4,80291.2,40134.6,89177.54999999996
Kaolack,Nioro,rural,professional,393571.5,291053.9,519196.1,268911.64999999997,552569.55
Kaolack,Nioro,rural,services,285267.5,223896.9,362754.4,210622.2,385291.0999999999
Kaolack,Nioro,rural,small_business,156167.5,131788.7,186642.59999999998,126481.4,195237.25
Kaolack,Nioro,rural,trades,239138,184093.6,306410.9,170243.44999999998,330024.8499999999
Kaolack,Nioro,urban,agri_aqua,153894,97451.9,249195.90000000002,80922.3,286030.8499999999
Kaolack,Nioro,urban,livestock,20825.5,10248.7,39982.700000000004,8416.1,46796.79999999999
Kaolack,Nioro,urban,professional,875536,659023,1214977.2,601568,1336274.7
Kaolack,Nioro,urban,services,364897,265962,483345.4,240918.15000000002,519613.3
Kaolack,Nioro,urban,small_business,197113,149237.4,255358.80000000002,136593.1,270579.44999999995
Kaolack,Nioro,urban,trades,557610,379883.9,802887.9000000001,330981,880495.6
Kedougou,Kedougou,rural,agri_aqua,70248,46533.9,103049.40000000001,42640.95,114085.34999999999
Kedougou,Kedougou,rural,livestock,34479,24648.8,47387.1,22953.1,51250.85
Kedougou,Kedougou,rural,professional,632277.5,467976.7,900287,431211.55,976140.6
Kedougou,Kedougou,rural,services,374249.5,296133.7,472130.9,274915.25,501501.39999999997
Kedougou,Kedougou,rural,small_business,175113,146967.9,210561.2,139363.35,221711.54999999996
Kedougou,Kedougou,rural,trades,330606.5,225517.6,491113.8,194775.8,563271.9
Kedougou,Kedougou,urban,agri_aqua,91745.5,61598.9,130636.09999999999,55141.3,143475.29999999996
Kedougou,Kedougou,urban,livestock,61302,41006.4,92302.4,36750.65,104258.29999999999
Kedougou,Kedougou,urban,professional,1054393,917749.7999999999,1217229.0000000002,880424.6499999999,1290529.9
Kedougou,Kedougou,urban,services,543825,468782.4,626825.3,453331.3,652066.8500000001
Kedougou,Kedougou,urban,small_business,233422,204789.9,265307.2,196727.55,275148.4
Kedougou,Kedougou,urban,trades,817958.5,660409.4,1013949.1,617930.9,1078908.7999999998
Kedougou,Salemata,rural,agri_aqua,84943,60315.1,118967.1,55254.600000000006,132188.19999999995
Kedougou,Salemata,rural,livestock,26237,18330.6,38366.4,16288.800000000001,43682
Kedougou,Salemata,rural,professional,373126,243088,545705.6000000001,210392.8,623417.8
Kedougou,Salemata,rural,services,290855,194778.1,400586.80000000005,174756.55000000002,441478.89999999997
Kedougou,Salemata,rural,small_business,107169,80620.59999999999,145501.9,74866.9,159135.24999999997
Kedougou,Salemata,urban,agri_aqua,67350.5,26297.4,176791.19999999998,19232.05,232847.84999999998
Kedougou,Salemata,urban,livestock,34895,19394.8,60236.50000000001,16699.850000000002,69329.9
Kedougou,Salemata,urban,professional,866474,577565.7,1278208.0000000002,506514.3,1407336.499999999
Kedougou,Salemata,urban,services,401825.5,273913.8,577747.5,248761.90000000002,641384.85
Kedougou,Salemata,urban,small_business,149035,102029,213936.6,92256.95,236799.24999999997
Kedougou,Saraya,rural,agri_aqua,61920.5,45350.1,86621.5,41343.200000000004,94477.54999999999
Kedougou,Saraya,rural,livestock,77699,52938.9,111110.8,47854.850000000006,122700.4
Kedougou,Saraya,rural,professional,389926,256236.2,588444.9,216867.65,678400.4500000001
Kedougou,Saraya,rural,services,388042,289281.3,535504.7000000001,264945.35,592974.2999999999
Kedougou,Saraya,rural,small_business,163790,139673,190072.9,133584.3,198816.9
Kedougou,Saraya,rural,trades,371504,256524.4,524115.2,227825.35,579748.7499999999
Kolda,Kolda,rural,agri_aqua,107777.5,86465.6,133288.6,81689,140029.8
Kolda,Kolda,rural,livestock,48242,36439.2,63267.600000000006,33471.5,69442.7
Kolda,Kolda,rural,professional,511310,377064.1,702410.1,342897.65,764212.9499999998
Kolda,Kolda,rural,services,293907.5,227384.7,376492,213095.65,398111.94999999995
Kolda,Kolda,rural,small_business,129396,103601.4,161227.5,97800.84999999999,170432.25
Kolda,Kolda,rural,trades,194041,141110,261444.1,128954.4,284180.8
Kolda,Kolda,urban,agri_aqua,73014.5,47840.100000000006,114727.1,41824.5,131240.19999999995
Kolda,Kolda,urban,livestock,24112,13344.6,42396.40000000001,10990.75,50884.35
Kolda,Kolda,urban,professional,800290.5,643507.7,1016655.8,606288.3500000001,1096220.7
Kolda,Kolda,urban,services,388376,303341.7,499812.5,281726,533821.7
Kolda,Kolda,urban,small_business,175790,146980.69999999998,207235.4,140324.35,218227.05
Kolda,Kolda,urban,trades,360667.5,277772.4,476610.89999999997,259870.2,521770.69999999995
Kolda,Medina Yoro Foulah,rural,agri_aqua,181249.5,142442.4,229088.4,131798.05000000002,247822.2
Kolda,Medina Yoro Foulah,rural,livestock,64277.5,43260.9,92483.8,37646.55,104208.29999999997
Kolda,Medina Yoro Foulah,rural,professional,387926.5,264842.6,556957,233885.75,640771.35
Kolda,Medina Yoro Foulah,rural,small_business,152590,107504.5,214384.6,99668.4,237273.69999999992
Kolda,Medina Yoro Foulah,rural,trades,261512,169056.6,400487.60000000003,152366.5,446825.04999999993
Kolda,Velingara,rural,agri_aqua,74241,61805.9,90203.90000000001,58197.50000000001,96509.45
Kolda,Velingara,rural,livestock,77666,60638.4,101976.8,56903.200000000004,112003.59999999999
Kolda,Velingara,rural,professional,402228.5,291078.1,551939.8,262102.55000000002,594303.95
Kolda,Velingara,rural,services,424094,334143.2,538922.9,308183,567875.8
Kolda,Velingara,rural,small_business,205256,164113.90000000002,253369.8,155287.69999999998,268821
Kolda,Velingara,rural,trades,205657.5,139868,291087.60000000003,126500.45,319562.94999999995
Kolda,Velingara,urban,agri_aqua,99536,72951.8,139089.9,66159.2,156896.9
Kolda,Velingara,urban,livestock,34750.5,20591.7,60541.600000000006,18028.85,70568.14999999997
Kolda,Velingara,urban,professional,899208,737218,1119696.4,695048.5,1172984.8499999996
Kolda,Velingara,urban,services,626497.5,498765.39999999997,771725.4,467504.25,839105.4999999999
Kolda,Velingara,urban,small_business,227426,180001.9,280016.1,170520.15,298519.74999999994
Kolda,Velingara,urban,trades,535337,416047.80000000005,694266.8,388206.5,748325.4999999999
Louga,Kebemer,rural,agri_aqua,118249,91335.5,156353.3,84923.25,168849.9
Louga,Kebemer,rural,livestock,48927,36507.600000000006,64784.799999999996,33860.1,70361.34999999999
